chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
Chamber 4 (0003AA0095F5),b401643f482df447ac975b9e,2019-01-01 00:23,28.0,28.0,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),b401643f482df447ac975b9e,2019-01-01 00:53,27.0,26.899,60.0,59.0,50.0,57.0
Chamber 4 (0003AA0095F5),b55d4a79785eaa4d9dab9192,2019-01-01 01:23,27.0,26.899,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),b55d4a79785eaa4d9dab9192,2019-01-01 01:53,26.0,25.7,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),531030197a658440847ad4f5,2019-01-01 02:23,25.0,24.6,60.0,59.0,50.0,57.0
Chamber 4 (0003AA0095F5),531030197a658440847ad4f5,2019-01-01 02:53,25.0,24.799,60.0,59.0,50.0,57.0
Chamber 4 (0003AA0095F5),4099526474e43b439a9bb9b1,2019-01-01 03:23,25.0,25.0,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),4099526474e43b439a9bb9b1,2019-01-01 03:53,25.0,24.799,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),057e116a66b6cc488f0c495b,2019-01-01 04:23,25.0,25.2,60.0,61.0,50.0,56.0
Chamber 4 (0003AA0095F5),057e116a66b6cc488f0c495b,2019-01-01 04:53,25.0,24.899,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),89871ef9652bb84baceacb45,2019-01-01 05:23,25.0,25.299,60.0,62.0,50.0,56.0
Chamber 4 (0003AA0095F5),89871ef9652bb84baceacb45,2019-01-01 05:53,25.0,25.2,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),f802d6a779e3f5498c9ec031,2019-01-01 06:23,26.0,26.1,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),f802d6a779e3f5498c9ec031,2019-01-01 06:53,27.0,27.2,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),18cde0ec07b4b341ab0b4497,2019-01-01 07:23,28.0,27.7,60.0,61.0,50.0,56.0
Chamber 4 (0003AA0095F5),18cde0ec07b4b341ab0b4497,2019-01-01 07:53,29.0,29.2,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),05694502ae68a144885bbf8d,2019-01-01 08:23,30.0,30.299,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),05694502ae68a144885bbf8d,2019-01-01 08:53,30.0,30.1,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),1cdf8bf1f1c401429a178cb7,2019-01-01 09:23,31.0,31.1,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),1cdf8bf1f1c401429a178cb7,2019-01-01 09:53,32.0,32.0,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),5cb55da85264ae459f1c0443,2019-01-01 10:23,33.0,33.099,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),5cb55da85264ae459f1c0443,2019-01-01 10:53,34.0,33.9,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),0be16b5419567b49b4f1942a,2019-01-01 11:23,35.0,35.4,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),0be16b5419567b49b4f1942a,2019-01-01 11:53,35.0,35.2,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),129a1d2e2e73964a88386d89,2019-01-01 12:23,35.0,34.9,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),129a1d2e2e73964a88386d89,2019-01-01 12:53,35.0,34.9,60.0,61.0,50.0,56.0
Chamber 4 (0003AA0095F5),e09ca0ac223cfa40951fbd93,2019-01-01 13:23,35.0,34.9,60.0,60.0,50.0,57.0
Chamber 4 (0003AA0095F5),e09ca0ac223cfa40951fbd93,2019-01-01 13:53,35.0,35.0,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),0b64460c5a3e5c4297451b2f,2019-01-01 14:23,35.0,35.299,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),0b64460c5a3e5c4297451b2f,2019-01-01 14:53,35.0,35.0,60.0,61.0,50.0,56.0
Chamber 4 (0003AA0095F5),4fe461f6013840468a796ab3,2019-01-01 15:23,35.0,35.0,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),4fe461f6013840468a796ab3,2019-01-01 15:53,35.0,35.0,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),d1fdfc670e31874caa36ccf1,2019-01-01 16:23,35.0,34.9,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),d1fdfc670e31874caa36ccf1,2019-01-01 16:53,35.0,35.0,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),6cfd7d5a2ab35242851710be,2019-01-01 17:23,35.0,35.2,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),6cfd7d5a2ab35242851710be,2019-01-01 17:53,35.0,34.799,60.0,59.0,50.0,56.0
Chamber 4 (0003AA0095F5),c232e8c81466144eb3858dfd,2019-01-01 18:23,34.0,33.9,60.0,61.0,50.0,56.0
Chamber 4 (0003AA0095F5),c232e8c81466144eb3858dfd,2019-01-01 18:53,34.0,33.9,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),a2397f513c081148950230b6,2019-01-01 19:23,33.0,33.099,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),a2397f513c081148950230b6,2019-01-01 19:53,33.0,32.799,60.0,60.0,50.0,56.0
Chamber 4 (0003AA0095F5),0f85dbef96e7f544be8451d4,2019-01-01 20:23,32.0,31.899,60.0,58.0,50.0,55.0
Chamber 4 (0003AA0095F5),0f85dbef96e7f544be8451d4,2019-01-01 20:53,32.0,32.099,60.0,59.0,50.0,55.0
Chamber 4 (0003AA0095F5),b547ceb482feb64699dffaac,2019-01-01 21:23,31.0,30.799,60.0,58.0,50.0,55.0
Chamber 4 (0003AA0095F5),b547ceb482feb64699dffaac,2019-01-01 21:53,30.0,29.7,60.0,61.0,50.0,55.0
Chamber 4 (0003AA0095F5),3e45cfa7e6d27d46bff561c7,2019-01-01 22:23,30.0,30.1,60.0,59.0,50.0,55.0
Chamber 4 (0003AA0095F5),3e45cfa7e6d27d46bff561c7,2019-01-01 22:53,29.0,29.0,60.0,59.0,50.0,55.0
Chamber 4 (0003AA0095F5),6737694c47ee6b419cc51cd7,2019-01-01 23:23,29.0,29.0,60.0,59.0,50.0,55.0
Chamber 4 (0003AA0095F5),6737694c47ee6b419cc51cd7,2019-01-01 23:53,28.0,28.399,60.0,60.0,50.0,55.0
