chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:53,27.0,27.0,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:54,27.0,27.0,60.0,61.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:55,27.0,27.0,60.0,59.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:56,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:57,27.0,27.0,60.0,61.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:58,27.0,27.0,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 00:59,27.0,27.0,60.0,60.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:00,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:01,27.0,27.0,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:02,27.0,27.0,60.0,62.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:03,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:04,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:05,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:06,27.0,27.0,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:07,27.0,27.0,60.0,61.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:08,27.0,26.899,60.0,60.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:09,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:10,27.0,26.899,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:11,27.0,27.0,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:12,27.0,27.0,60.0,60.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:13,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:14,27.0,27.0,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:15,27.0,27.0,60.0,62.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:16,27.0,26.899,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:17,27.0,26.799,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:18,27.0,27.0,60.0,62.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:19,27.0,27.1,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:20,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:21,27.0,27.0,60.0,60.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:22,27.0,26.899,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:23,26.0,26.899,60.0,61.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:24,26.0,26.6,60.0,61.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:25,26.0,26.299,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:26,26.0,26.0,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:27,26.0,25.799,60.0,62.0,50.0,51.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:28,26.0,25.7,60.0,62.0,50.0,52.0
5,42c5ee6d43fbc14f96eed01b,2019-01-01 01:29,26.0,25.7,60.0,61.0,50.0,51.0
