chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
Chamber 1 (0003AA0095FA),72e047c3d68d1f4ab7f83d97,2019-01-01 00:59,23.0,22.899,60.0,59.0,50.0,54.0
Chamber 1 (0003AA0095FA),72e047c3d68d1f4ab7f83d97,2019-01-01 01:29,23.0,23.0,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),72adeab720c214408d2add7b,2019-01-01 01:59,22.0,22.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),72adeab720c214408d2add7b,2019-01-01 02:29,21.0,20.7,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),4be6af618c187e4595ec6e0e,2019-01-01 02:59,21.0,21.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),4be6af618c187e4595ec6e0e,2019-01-01 03:29,21.0,21.0,60.0,61.0,50.0,53.0
Chamber 1 (0003AA0095FA),296c7561e50ccb428183e2de,2019-01-01 03:59,21.0,21.0,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),296c7561e50ccb428183e2de,2019-01-01 04:29,21.0,21.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),c46aad3cc579ec4c9614c09c,2019-01-01 04:59,21.0,21.0,60.0,61.0,50.0,53.0
Chamber 1 (0003AA0095FA),c46aad3cc579ec4c9614c09c,2019-01-01 05:29,21.0,21.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),a78ca18219c085438910ff20,2019-01-01 05:59,21.0,21.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),a78ca18219c085438910ff20,2019-01-01 06:29,22.0,22.0,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),dc01c7c25ea03f45be7dc5d6,2019-01-01 06:59,23.0,23.0,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),dc01c7c25ea03f45be7dc5d6,2019-01-01 07:29,24.0,24.0,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),7cf8718997ae5448ac4a855c,2019-01-01 07:59,25.0,25.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),7cf8718997ae5448ac4a855c,2019-01-01 08:29,26.0,26.0,60.0,59.0,50.0,53.0
Chamber 1 (0003AA0095FA),8fdae7c11cad8b4ea7903d16,2019-01-01 08:59,26.0,26.0,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),8fdae7c11cad8b4ea7903d16,2019-01-01 09:29,27.0,27.0,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),8c091f5ec4b76f4d862a4690,2019-01-01 09:59,28.0,28.0,60.0,60.0,50.0,53.0
Chamber 1 (0003AA0095FA),8c091f5ec4b76f4d862a4690,2019-01-01 10:29,29.0,29.0,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),3f24d6c433fc1541beb08934,2019-01-01 10:59,30.0,30.1,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),3f24d6c433fc1541beb08934,2019-01-01 11:29,31.0,30.5,60.0,59.0,50.0,54.0
Chamber 1 (0003AA0095FA),1bfb294732ec264693ae866b,2019-01-01 11:59,31.0,31.0,60.0,59.0,50.0,54.0
Chamber 1 (0003AA0095FA),1bfb294732ec264693ae866b,2019-01-01 12:29,31.0,31.0,60.0,60.0,50.0,54.0
Chamber 1 (0003AA0095FA),48ce36ca07db904c9715e235,2019-01-01 12:59,31.0,31.0,60.0,61.0,50.0,54.0
Chamber 1 (0003AA0095FA),48ce36ca07db904c9715e235,2019-01-01 13:29,31.0,31.0,60.0,60.0,50.0,54.0
