chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
8,64c30ac2753c17418d89d976,2019-01-01 00:04,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:05,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:06,26.0,26.0,60.0,58.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:07,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:08,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:09,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:10,26.0,26.0,60.0,60.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:11,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:12,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:13,26.0,26.0,60.0,60.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:14,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:15,26.0,26.0,60.0,60.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:16,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:17,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:18,26.0,26.0,60.0,59.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:19,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:20,26.0,26.0,60.0,61.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:21,26.0,26.0,60.0,60.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:22,26.0,26.0,60.0,59.0,50.0,52.0
8,64c30ac2753c17418d89d976,2019-01-01 00:23,26.0,26.0,60.0,58.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:24,26.0,26.0,60.0,60.0,50.0,51.0
8,64c30ac2753c17418d89d976,2019-01-01 00:25,26.0,26.0,60.0,61.0,50.0,51.0
