chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
2,403eaafcc73fea43ab9de20d,2019-01-01 00:35,24.0,24.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:36,24.0,24.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:37,24.0,24.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:38,23.0,23.7,60.0,58.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:39,23.0,23.1,60.0,63.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:40,23.0,22.799,60.0,65.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:41,23.0,22.7,60.0,63.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:42,23.0,22.799,60.0,63.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:43,23.0,23.0,60.0,62.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:44,23.0,22.899,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:45,23.0,22.899,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:46,23.0,23.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:47,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:48,23.0,23.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:49,23.0,23.1,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:50,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:51,23.0,23.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:52,23.0,23.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:53,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:54,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:55,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:56,23.0,23.0,60.0,58.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:57,23.0,23.0,60.0,59.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:58,23.0,23.0,60.0,60.0,50.0,51.0
2,403eaafcc73fea43ab9de20d,2019-01-01 00:59,23.0,23.0,60.0,60.0,50.0,51.0
