chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
Chamber 5 (0003AA0095EC),42c5ee6d43fbc14f96eed01b,2019-01-01 00:53,27.0,27.0,60.0,62.0,50.0,51.0
Chamber 5 (0003AA0095EC),42c5ee6d43fbc14f96eed01b,2019-01-01 01:23,26.0,26.899,60.0,61.0,50.0,52.0
Chamber 5 (0003AA0095EC),f9d906296549d645af9d4e8b,2019-01-01 01:53,26.0,26.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),f9d906296549d645af9d4e8b,2019-01-01 02:23,25.0,24.7,60.0,62.0,50.0,51.0
Chamber 5 (0003AA0095EC),3bfb060021ca97468e09148a,2019-01-01 02:53,25.0,25.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),3bfb060021ca97468e09148a,2019-01-01 03:23,25.0,25.1,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),95bfc4ce568e4e4a91d2f44a,2019-01-01 03:53,25.0,24.899,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),95bfc4ce568e4e4a91d2f44a,2019-01-01 04:23,25.0,25.0,60.0,58.0,50.0,51.0
Chamber 5 (0003AA0095EC),1ecb8923425c084d8395c707,2019-01-01 04:53,25.0,25.0,60.0,61.0,50.0,51.0
Chamber 5 (0003AA0095EC),1ecb8923425c084d8395c707,2019-01-01 05:23,25.0,25.2,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),62371b30e6ea3d4a8f53708d,2019-01-01 05:53,26.0,25.1,60.0,61.0,50.0,51.0
Chamber 5 (0003AA0095EC),62371b30e6ea3d4a8f53708d,2019-01-01 06:23,26.0,26.1,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),c30be81e54a72b4ba425a28f,2019-01-01 06:53,27.0,27.0,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),c30be81e54a72b4ba425a28f,2019-01-01 07:23,28.0,28.1,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),5be1688751b29e43b796ad13,2019-01-01 07:53,29.0,29.0,60.0,61.0,50.0,52.0
Chamber 5 (0003AA0095EC),5be1688751b29e43b796ad13,2019-01-01 08:23,30.0,30.399,60.0,57.0,50.0,51.0
Chamber 5 (0003AA0095EC),ab08336922aeda4da653f8b7,2019-01-01 08:53,31.0,30.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),ab08336922aeda4da653f8b7,2019-01-01 09:23,31.0,31.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),04ed635af3e8404993b4f78c,2019-01-01 09:53,32.0,32.099,60.0,60.0,50.0,52.0
Chamber 5 (0003AA0095EC),04ed635af3e8404993b4f78c,2019-01-01 10:23,33.0,33.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),b0d0fdbca0a3f546a20fe38b,2019-01-01 10:53,34.0,33.9,60.0,61.0,50.0,51.0
Chamber 5 (0003AA0095EC),b0d0fdbca0a3f546a20fe38b,2019-01-01 11:23,35.0,35.099,60.0,60.0,50.0,52.0
Chamber 5 (0003AA0095EC),b996542aed05e9428f26236a,2019-01-01 11:53,35.0,35.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),b996542aed05e9428f26236a,2019-01-01 12:23,35.0,35.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),314a2c80f961504b90fd2764,2019-01-01 12:53,35.0,35.0,60.0,59.0,50.0,52.0
Chamber 5 (0003AA0095EC),314a2c80f961504b90fd2764,2019-01-01 13:23,35.0,35.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),a29fded1ac46e340a200975d,2019-01-01 13:53,35.0,35.099,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),a29fded1ac46e340a200975d,2019-01-01 14:23,35.0,35.0,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),430e05dd69d2c14f99ce2652,2019-01-01 14:53,35.0,35.099,60.0,61.0,50.0,51.0
Chamber 5 (0003AA0095EC),430e05dd69d2c14f99ce2652,2019-01-01 15:23,35.0,35.0,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),b747cb8b3c93024089a5960f,2019-01-01 15:53,35.0,34.9,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),b747cb8b3c93024089a5960f,2019-01-01 16:23,35.0,35.099,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),6b37c04e394f8c44b34045b1,2019-01-01 16:53,35.0,34.9,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),6b37c04e394f8c44b34045b1,2019-01-01 17:23,35.0,35.0,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),92dd8a7d5534ab409da17d33,2019-01-01 17:53,35.0,35.0,60.0,61.0,50.0,50.0
Chamber 5 (0003AA0095EC),92dd8a7d5534ab409da17d33,2019-01-01 18:23,34.0,34.099,60.0,59.0,50.0,50.0
Chamber 5 (0003AA0095EC),d1000154416fdf4faabbbad3,2019-01-01 18:53,34.0,34.0,60.0,60.0,50.0,50.0
Chamber 5 (0003AA0095EC),d1000154416fdf4faabbbad3,2019-01-01 19:23,33.0,33.099,60.0,60.0,50.0,51.0
Chamber 5 (0003AA0095EC),074905917176a24ba719e351,2019-01-01 19:53,33.0,33.0,60.0,61.0,50.0,51.0
Chamber 5 (0003AA0095EC),074905917176a24ba719e351,2019-01-01 20:23,32.0,32.0,60.0,59.0,50.0,51.0
Chamber 5 (0003AA0095EC),4c88d1d49f24ac418c44e650,2019-01-01 20:53,31.0,32.0,60.0,59.0,50.0,50.0
Chamber 5 (0003AA0095EC),4c88d1d49f24ac418c44e650,2019-01-01 21:23,31.0,31.1,60.0,59.0,50.0,50.0
Chamber 5 (0003AA0095EC),07ff7ff0a9091b448abede30,2019-01-01 21:53,30.0,29.5,60.0,62.0,50.0,50.0
Chamber 5 (0003AA0095EC),07ff7ff0a9091b448abede30,2019-01-01 22:23,30.0,30.1,60.0,61.0,50.0,50.0
Chamber 5 (0003AA0095EC),223cf56fae4bcd47bcfbe400,2019-01-01 22:53,29.0,29.0,60.0,60.0,50.0,50.0
Chamber 5 (0003AA0095EC),223cf56fae4bcd47bcfbe400,2019-01-01 23:23,29.0,29.0,60.0,60.0,50.0,50.0
Chamber 5 (0003AA0095EC),8cfd7578ed467d47b2794f57,2019-01-01 23:53,28.0,28.0,60.0,59.0,50.0,50.0
